Title,Number,Barcode,Author,Summary,Status
Chick: Lister ,F VAN,GRAY37766,"Van Tol, Alex,","Chick is a popular fourteen-year-old who is essentially on this earth to live up to his father’s impossible expectations—or, at least, that’s how he feels. This pressure is a grinding source of anxiety for him, which he copes with by making lists. He itemizes every aspect of his life, from his daily routine to the things that make him nervous. But as the pressure of school and his budding romance with his debating teammate Audrey builds, his compulsion starts to feel impossible to control—or conceal.",Available
Redline,F VAN,GRAY382731,"Van Tol, Alex.","Jenessa escapes to the sanctuary of her car and the freedom of the open road, where she can outrun her memories...if only for a while. She finds a kindred spirit in Dmitri, a warm-hearted speed demon who races at the track. But when Jenessa falls in with a group of street racers--and its irresistible leader, Cody--she finds herself caught up in a web of escalating danger. When her penchant for risk-taking spirals out of control, Jenessa has to find a way to break the self-destructive patterns she's built--before anyone else gets hurt.",Available
Redline ,F VAN,GRAY381591,"Van Tol, Alex.","Jenessa escapes to the sanctuary of her car and the freedom of the open road, where she can outrun her memories...if only for a while. She finds a kindred spirit in Dmitri, a warm-hearted speed demon who races at the track. But when Jenessa falls in with a group of street racers--and its irresistible leader, Cody--she finds herself caught up in a web of escalating danger. When her penchant for risk-taking spirals out of control, Jenessa has to find a way to break the self-destructive patterns she's built--before anyone else gets hurt.",Available
Shallow grave ,F VAN,GRAY381692,"Van Tol, Alex.","When they're hauled into the office in the wake of a stupid prank, schoolmates Elliot and Shannon have no idea that hiding the principal's Smart Car in the woods was the least of their problems. As part of their punishment, the pair is tasked to clean up the school boathouse. Should be an easy enough task, they figure: chuck all the broken stuff, organize whatever still works and get the weekend underway. But when Shannon talks Elliot into making a Ouija board, things take a turn for the horrifying. When the pair accidentally unleashes a dark force, they find themselves caught up in a mystery that must be solved if they have any hope of escape.",Available
Deep ,F VAN,GRAY17727,"Vance, Susanna.","Nothing really bad has ever happened to Birdie. And she hates it! She needs drama, angst, torment–something to provide fodder for the amazing book she wants to write. When her parents take a yearlong sabbatical to the Caribbean, she gets her wish. . . . Morgan is a child of the sea. Raised by nomadic Norwegian parents who encouraged her to chart her own course, and filled with sorrow after the water claims her older sister, she attempts to create a new life for herself in the warm waters of the tropics. But before she can do that, she needs papers that will keep the Coast Guard away, And there's only one person she knows who can help her. Tricky Nicky. Morgan knows he's a shyster. But what she doesn't know is that he's a maniacal killer. Told in alternating points of view, Deep is a riveting story that will pull readers into its depths.From the Hardcover edition.",Available
FLIPPED,F VAN,GRAY19480,"Van Draanen, Wendelin","This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.",Available
SPUD,F VAN,GRAY19523,"Van De Ruit, John","It's 1990. Apartheid is crumbling. Nelson Mandela has just been released from prison. And Spud Milton?thirteen-year-old, prepubescent choirboy extraordinaire?is about to start his first year at an elite boys-only boarding school in South Africa. Cursed with embarrassingly dysfunctional parents, a senile granny named Wombat, and a wild obsession for Julia Roberts, Spud has his hands full trying to adapt to his new home. Armed with only his wits and his diary, Spud takes readers of all ages on a rowdy boarding school romp full of illegal midnight swims, raging hormones, and catastrophic holidays that will leave the entire family in total hysterics and thirsty for more.Winner of South Africa's Booksellers? Choice Award 2006",Available
Knifepoint ,F VAN,GRAY381727,"Van Tol, Alex.","Jill took a job which sounded perfect for the summer, guiding tourists on trail rides in the beautiful mountains. She didn't realize that the money was terrible, the hours long and the coworkers insufferable. After a blow-up with her boss, she takes a single man into the mountains for a ride, only to find that he is a dangerous killer. When Jill fights back and manages to escape, she is in a desperate race to survive and make it to safety.Also available in Spanish.",Available
Viral ,F VAN,GRAY381728,"Van Tol, Alex.","Mike has fallen deeply in love with his best friend, Lindsay. And he's pretty sure she feels the same way until a simple misunderstanding destroys Lindsay's trust. Devastated and feeling betrayed, Lindsay leaves town for the summer. In the fall, she returns to school a different person and she's suddenly tight with the ""in"" crowd. When Lindsay gets intoxicated at a party and ends up in a compromising situation, she has no idea that someone is filming the whole thing on his phone. When the footage goes viral around their school, Mike has to dig deep within himself to find the courage to help Lindsay in her time of greatest need.  ",Available
Fakie ,F VAR,GRAY19940,"Varrato, Tony,","Ideal for reluctant readers and ESL students, this short novel has action, intrigue, and relatable teen characters.  At first glance, Alex Miller seems like a typical kid, typical hair, typical clothes, typical hobbies. But Alex's life is anything but typical... and fitting in has become a matter of life and death. The unfortunate witness to a crime, Alex can't forget the things he has seen, and neither can the man he helped put in jail. The Witness Relocation Program has changed the identities of Alex and his mother repeatedly, but they still need to keep running to stay one step ahead of his enemies. His latest identity as a skateboarder in Virginia Beach is no easy ride. Nosegrabs, ollies, and kickflips are all new to him. Alex has to catch on quickly to blend in, but the biggest trick he'll have to master is staying alive.",Available
Cutting for Stone :,F VER,GRAY37296,"Verghese, A.","Cutting for Stone Study Guide contains comprehensive summaries and analysis of the book. This study guide includes a detailed Plot Summary, Chapter Summaries & Analysis, Character Descritions, Objects/Places, Themes, Styles, Quotes, and Topics for Discussion on Cutting for Stone by Abraham Verghese.","March 20, 2020"
Love the one you're with ,F VES,GRAY21300,"Vestry, Annabelle.","It's Thanksgiving, and the Carlyle triplets are thankful to be escaping the New York City cold-they're jetting to the tropics and bringing all their friends along for the ride. The sun isn't the only thing that's sizzling on this vacation getaway--I'm forecasting sultry poolside encounters, too. So, don't forget to pack the sunscreen...you don't want to get burned.  You know you love me,Gossip Girl",Available
Take a chance on me ,F VES,GRAY21215,"Vestry, Annabelle.","The Carlyle triplets have made a lot of new friends in Manhattan-and more than a few enemies. O stole his best friend's girlfriend, and A dethroned the queen bee. Now a line has been drawn down Fifth Avenue, and it's all-out war. Only here, the battles are fought with icy glares and vicious rumors. It's the Upper East Side, and all's fair in love and scandal...You know you love me,Gossip Girl",Available
Same difference ,F VIV,GRAY20771,"Vivian, Siobhan.","Portrait of the artist as a young girl, from new teen writer Siobhan VivianEmily is ready for a change. She's been in the same town with the same friends for a long time...and none of them really understand her art. But when she goes to Philadelphia for a summer art institute, she suddenly finds like-minded people. One in particular, Fiona, intrigues and challenges her. But there are some things Emily is going to have to find out for herself -- like what the balance is between life and art, and which is more important when push comes to shove.",Available
It's kind of a funny story ,F VIZ,GRAY36912,"Vizzini, Ned,","This study guide includes the following sections: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, Quotes, and Topics for Discussion.",Available
David and Jonathan ,F VOI,GRAY9440,"Voigt, Cynthia.","To preserve his relationship with his best friend, Jonathan, Hank becomes enmeshed in Jonathan's struggle to save his cousin, David, a Holocaust survivor, from his horrific memories of the war and his self-destructive behavior.",Available
Bluesman.,F VOL,GRAY18975,"Vollmar, Rob.","Now collected into one stunning paperback! This story, structured like a traditional twelve bar blues song, with three sections each made of four chapters, follows blues musician Lem Taylor’s harrowing journey starting from juke joints he appears in to fleeing across Arkansas of the late twenties, a black man hunted down for a crime he didn’t commit. A racially intense story presenting a significant aspect of black history, its music, its social injustice.",Available
You know you love me :,F VON,GRAY380072,"Von Ziegesar, Cecily.","In 
You Know You Love Me
, the sequel to Gossip Girl, it's brunette vixen Blair Waldorf's seventeenth birthday, and she knows exactly what she wants— Nate, her studly troubles boyfriend of three years. But Blair's been too busy filling out Ivy League college applications to notice that Nate has found himself another playmate.",Available
THE IT GIRL NOVEL,F VON,GRAY381994,CECILY VON ZIEGESAR,"This is nonfiction commentary. Purchase includes a free trial membership in the publisher's book club where you can select from more than a million books without charge. Chapters: The It Girl, Notorious, Reckless, Tempted, Unforgettable, Infamous, Lucky, Adored, Devious, Classic. Source: Wikipedia. Free updates online. Not illustrated. Excerpt: The It Girl is the first book in The It Girl series. It was written in 2005 by a ghostwriter with suggestions from Cecily von Ziegesar. Aimed toward young adults, it is a spin-off from the bestselling Gossip Girl series. Jenny Humphrey has been kicked out from Constance Billard in the eighth book. In this series, she starts Waverly academy, an elite boarding school in Upstate New York filled with glamorous rich kids. She aims to be the most sophisticated and most popular girl, partying every night and winning every boy there. Like the Gossip Girl series, there is a break between every chapter with a ""narrative"" from less prominent characters. In this series, the characters use email and instant messaging to gossip and spread rumors about the main characters, Jenny, Tinsley, Callie and Brett. Jenny Humphrey Jenny Humphrey, a character from the Gossip Girl series, here stars in a series of her own. After being kicked out of Constance Billard, Jenny enrolls at the posh Waverly Academy located in Upstate New York. Jenny hopes to leave her old, unsophisticated, embarrassing past behind and become the It Girl of Waverly. She soon rises to become the rival of previous ""It girl,"" Tinsley Carmichael, and falls for Easy Walsh, the boyfriend of one of her roommates, Callie Vernon. She is also shy.Callie Vernon Callie, who was one of Tinsley Carmichael's and Brett Messerschmidt's best friends and is girlfriend to Easy Walsh, is a popular blonde girl who rooms with Jenny and Brett at Waverly. When Easy is caught in her room, where she'd invited him so they could have sex, Callie blames the whole t...More: http: //booksllc.net/?id=333577",Available
Infamous :,F VON,GRAY382001,"Von Ziegesar, Cecily.","It's Thanksgiving break at exclusive Waverly Academy, and everybody's feeling thankful . . . for the long weekend. New BFFs Jenny Humphrey and Tinsley Carmichael are determined to snap their glum but still uberstylish roomie Callie Vernon out of her funk-it's been weeks since her boyfriend Easy Walsh was kicked out of school, and they're sick of her moping. The plan: head to NYC for some R & R! And some SS (serious shopping). But the girls quickly discover that a quiet holiday is not in store for them. A cozy Thanksgiving dinner turns into a three-day party with a few of their classmates-and some irresistible mystery guests. Jenny meets Mr. Right but is determined not to fall in love for the fourth time this fall. Tinsley has her own holiday mission: to win back adorable freshman Julian McCafferty. And Callie is holding out for Easy . . . which is hard to do with a cute college boy following her around. Brett Messerschmidt is missing in action-forced to spend Thanksgiving in her family's tacky Jersey McMansion. But drama's on the menu at the dinner table. And maybe love too. Forget turkey and stuffing. When you're an It Girl, a holiday is just another excuse to break out the bubbly.",Available
Lucky,F VON,GRAY382000,"Carter, Brooke,","Seventeen-year-old Lucy Lucky Graves is devoted to her championship rugby team, but her dreams of a scholarship are destroyed when she breaks her leg during an important game. If it doesn't heal properly, Lucy could be benched for the rest of the year. Goodbye pro career, goodbye college, goodbye future. Without rugby, who is she? Now her anxiety is getting worse, and a past trauma has resurfaced to haunt her. Lucy needs to get real about what happened when she was twelve, and about what it really means to be a team player.",Available
Unforgettable :,F VON,GRAY381996,"Von Ziegesar, Cecily.","Having a roommate at elite Waverly Academy means nightly sleepovers and double the designer wardrobe. But Callie Vernon never really liked late-night girl talk or swapping cashmere sweaters with her younger, rosy-cheeked roomie, Jenny Humphrey. So when Jenny stole her longtime boyfriend, Easy Walsh, Callie didn't feel that guilty about turning right around and kissing him behind Jenny's back. Okay, maybe a little guilty, but it certainly didn't stop her from enjoying it. Now, if only Easy would stop being so irritatingly indecisive and dump Jenny already!While the two roommates are sharing a boyfriend, the rest of Dumbarton's residents are sharing their feelings at the newly founded Women of Waverly club--aka, WOW! Everyone is totally bonding, revealing their most personal secrets, and hugging out their past rivalries. But despite the sharing-is-caring vibe, there are some things these girls aren't spilling--like who's making special late-night trips to the crater . . . and with whom.Now it's only a matter of time before all the newfound girl power explodes into a massive girl fight. But this battle goes well beyond the ivy colored brick walls of Dumberton--it's about who will be Waverly's next It Girl. ",Available
Tempted :,F VON,GRAY381999,"Von Ziegesar, Cecily.","When Jenny Humphrey confessed to a crime she didn't commit-starting the rampant fire that burned down Miller Farm-she thought her life at elite Waverly Academy was over. But her last-minute escape from expulsion made her the most talked-about girl in school. What nobody knows is who saved her. Now at the annual Halloween masquerade ball, Jenny has a plan to unveil her secret admirer. Callie Vernon knows who her Prince Charming is: Easy Walsh. But when he discovered she and Tinsley Carmichael tried to get Jenny kicked out, Easy dumped her on the spot. Now Callie is dressing up as Cinderella in hopes of winning back his heart. Can she convince him she's the one before the clock strikes midnight? Or will her glass slipper-and her heart-be permanently broken? Everyone wants a fairytale ending. But there can only be one It Girl.  The sixth scandalous novel in the New York Times bestselling series about the naughty hijinx at an elite East Coast boarding school.",Available
Reckless,F VON,GRAY381995,CECILY VON ZIEGESAR,"When Jenny Humphrey arrived at Waverly Academy, the student body immediately started buzzing about her and her body. She quickly caught the eye of three of the hottest guys on campus, kissed two of them, and made one her boyfriend: the adorable Easy Walsh. Too bad Easy just happened to belong to somebody else - Jenny's roommate, Callie Vernon. It didn't take long for powerful Tinsley Carmichael to tell Callie their sweet-faced new roommate was really a manipulative skank. So what if Tinsley herself stole a guy out from under their other roommate Brett Messerschmidt's perky little nose? Then Callie and Tinsley threw Jenny and Brett out of their ultra-exclusive club. And just like that, it was war. Now the four roommates have been split up across enemy lines - Jenny and Callie are living together in Dumbarton 303, and Brett and Tinsley are seemingly miles away downstairs. What will happen when Easy sneaks in to see Jenny . . . but finds Callie instead? And what if Brett discovers the one secret Tinsley's kept hidden for years? Everyone at Waverly is watching and whispering. With girls this wild, anything can happen, but only one can be it.",Available
Would I lie to you :,F VON,GRAY381998,"Von Ziegesar, Cecily.","Welcome to New York City's Upper East Side where my friends and I live, and go to school, and play, and sleep - sometimes with each other.We all live in huge apartments with our own bedrooms and bathrooms and phone lines.We're smart, we've inherited classic good looks, we have fantastic clothes, and we know how to party... Continuing the #1 New York Times bestselling series about the provocative lives of New York City's most prestigious private school young adults. Sharp wit, intriguing characters, and high stakes melodrama drive the action of this addictive series that have made Gossip Girl the lit world's coveted ""it"" girl.",Available
All I want is everything,F VON,GRAY382002,"Von Ziegesar, Cecily.","Enter the world of Gossip Girl - watch us indulge our taste for jealousy and betrayal, all in the midst of the wildest parties in the best clubs.S and B have decided to kiss and make up, and it's about time. I mean, how long can you stay mad at someone who you took baths with in grade school? The question is, now that they're back together, what kind of crazy naughtiness are they going to get up to? Believe me, I'll be the first one to find out, and you'll be the second. It's not like I'm good at keeping secrets. . . .You know you love me,gossip girl",Available
I like it like that :,F VON,GRAY382003,"Von Ziegesar, Cecily.","Welcome to New York City's Upper East Side, where a week off from school means wild parties, new alliances, and clues to some truly outrageous mysteries.Enter the world of Gossip Girl - and watch us drown in luxury while indulging in our favorite sports - jealousy, betrayal, and late-night bar-hopping.Spring Break is here and it's time for S & B to jet out to Sun Valley for plenty of après-ski hot tub fun. Too bad for those unfortunate few who have to stay in New York and intern among the city's most fabulous glitterati. Back on the slopes, when the ski house is this big, who can keep track of N, and who's sleeping where? So get out your cashmere-lined boots and meet me by the fire!You know you love me,gossip girl",Available
You're the one that I want :,F VON,GRAY382004,"Von Ziegesar, Cecily.","Welcome to New York City's Upper East Side, where my friends and I live in gorgeous apartments, go to exclusive private schools, and make Manhattan our own personal playground. It might look hard to be this fabulous, but for us it's as easy as sleeping with your best friend's boyfriend.Enter the world of Gossip Girl - a world of jealousy, betrayal, and $400 Christian Louboutin sandals.Our college acceptance letters are arriving today. Those who do best will act all shocked and modest; the ones who fail miserably will declare how unimportant it all is, even though they secretly know they are doomed; Fee Fie Foe Fum, I smell a cat fight! But after today it's time to get back to what's important: our love lives. Can't wait for this day to be over so the real fun can begin!! Good luck, everybody.You know you love me,gossip girl",Available
Because I'm worth it :,F VON,GRAY382005,"Von Ziegesar, Cecily.","Welcome to New York City's Upper East Side, where my friends and I live fabulously, go to school occasionally, and play—constantly.Enter the world of Gossip Girl–a world of jealousy and betrayal, where everything is hip, beautiful, and far more fantastic than anything you ever imagined.It's February and most cities are a cold, great wasteland. But not New York. At least, not my New York. Our college applications are in and it's time to view off some steam. Best of all, Fashion Week is just around the corner, giving us plenty of opportunities to get dressed up and go completely wild. And just think: The later you stay out, the quicker the days will blur by. See you out there!You know you love me,gossip girl",Available
Nobody does it better :,F VON,GRAY382009,"Von Ziegesar, Cecily.","Welcome to New York City's Upper East Side, where my friends and I get everything - and everyone - we want. Snagging the latest Marc Jacobs bag or your best friend's boyfriend isn't always pretty, but it's always hot.Enter the world of Gossip Girl - a world where everyone is gorgeous, everything is fabulous, and jealousy and betrayal are everywhere you look.It's springtime and our lives are really heating up. Everybody's into college, and it's obviously time to party - as if we hadn't been doing that already! Now that B's finally lost her virginity to N, she can't wait to do it again (and again). But will B and N's love affair continue? And will B finally get into Yale? Or will N and S hook up and leave B alone in the city? Only time will tell, but one thing's for sure: love is in the air, and it smells a lot like Gucci Envy.You know you love me,gossip girl",Available
Only in your dreams :,F VON,GRAY382007,"Von Ziegesar, Cecily.","Welcome to New York City's Upper East Side, where my friends and I are the biggest stars . . . whether or not the cameras are rolling.Enter the world of Gossip Girl - a world of VIPs and red carpet premier parties, where jealousy and betrayal will get you on the list . . . if you aren't already.Lights, camera, scandal! Hollywood is invading our city and S is set for her big screen debut. I hear she's already having an off-screen romance with her onscreen lover, T. What will that mean for Hamptons-bound N? And if N is free, what about B? Sure, she's off to London to spend time with her royal boytoy, but N will always be Prince Charming in my book . . . or movie. Now sit back, relax, and enjoy the show!You know you love me,gossip girl",Available
It had to be you :,F VON,GRAY380660,"Von Ziegesar, Cecily.","Welcome to New York City's Upper East Side, where my friends and I live in luxe Fifth Avenue apartments and attend Manhattan's most exclusive private schools. We're smart, we've inherited classic good looks, we wear fantastic clothes, and we know how to party. We can't help it-we were born this way. Our story begins with three inseparable, completely gorgeous fifteen-year-olds, Serena van der Woodsen, Blair Waldorf, and Nate Archibald. Blair's loved Nate and his glittering green eyes since she was in Bonpoint onesies. Too bad Nate wishes Blair's beautiful best friend, Serena, was the one with the crush. And Serena has a secret she's keeping from them both. Hmmm, something tells me these best friends may not be as close as we thought. . . . How do I know all this? Because I know everything-and lucky for you, I can't keep a secret. So sit back while I untangle this messy little tale and tell you how it all began. Admit it, you're already falling for me. You know you love me. gossip girl",Available
The sirens of Titan ,F VON,GRAY37638,"Vonnegut, Kurt.","The Sirens of Titan Study Guide by BookRags.com, consists of approx. 75 pages of summaries and analysis on The Sirens of Titan by Kurt Vonnegut.This comprehensive study guide includes the following sections written by BookRags.com: Plot Summary, Chapter Summaries & Analysis, Characters, Objects/Places, Themes, Style, and Topics for Discussion.",Available
NOTORIOUS:  AN IT GIRL NOVEL,F VON,GRAY17467,"VON ZIEGESAR, CECILY","Jenny Humphrey has left her Manhattan school to attend elite Waverly Academy in New York horse country where glamorous rich kids don't let the rules get in the way of an excellent time. She will do anything to become The It Girl, and rooming with the two most popular girls in school, Callie Vernon and Brett Messerschmidt, it finally seems to be happening. But when notorious Tinsley Carmichael returns to find Jenny with her old friends and in her old bed, she's determined not to let Jenny get all the attention... Is Waverly big enough for Jenny, Callie, Brett and Tinsley? They're all beautiful, captivating, and a little bit crazy... but there can be only one It Girl.",Available
GOSSIP GIRL:  ONLY IN YOUR DREAMS,F VON,GRAY18377,"VON ZIEGESAR, CECILY","Welcome to New York City's Upper East Side, where my friends and I are the biggest stars . . . whether or not the cameras are rolling.Enter the world of Gossip Girl - a world of VIPs and red carpet premier parties, where jealousy and betrayal will get you on the list . . . if you aren't already.Lights, camera, scandal! Hollywood is invading our city and S is set for her big screen debut. I hear she's already having an off-screen romance with her onscreen lover, T. What will that mean for Hamptons-bound N? And if N is free, what about B? Sure, she's off to London to spend time with her royal boytoy, but N will always be Prince Charming in my book . . . or movie. Now sit back, relax, and enjoy the show!You know you love me,gossip girl",Available
Don't you forget about me :,F VON,GRAY18790,"Von Ziegesar, Cecily.","Don't You Forget About Me continues the #1 New York Times bestselling series about the provocative lives of New York City's most prestigious private school young adults. Sharp wit, intriguing characters, and high stakes melodrama drive the action of this addictive series that have made Gossip Girl the lit world's coveted ""it"" girl.",Available
GOSSIP GIRL:  THE CARLYLES,F VON,GRAY19536,"Von Ziegesar, Cecily","Get out your Montblanc pens, Chloé satchels, and cashmere cardigans: it's a brand new season on the Upper East Side, and the irresistable Carlyle triplets are taking Manhattan by storm. You know its going to be another wild and wicked year, and I'll be there to whisper all the juicy secrets. You know you love me, GossipGirlgossipgirl.net",Available
Dream wheels :,F WAG,GRAY9827,"Wagamese, Richard.","Rodeo cowboy Joe Willie Wolfchild, riding an explosive bull called See Four and moments away from becoming World Champion, suffers a devastating accident. His parents and grandparents use all their native wisdom to ease him out of his subsequent bitter depression, but without success. Meanwhile, in a distant city, a troubled young kid named Aiden plans a holdup that goes wrong and lands himself in jail. When he emerges, a sympathetic police officer arranges a job at a ranch, where his mother Claire will accompany him in an attempt to restore their relationship. It is the Wolfchild ranch.Supported by the ferocious strength and native spirituality of the Wolfchild women, Joe Willie and Aiden fight through painful transformations, and their physical and mental rehabilitations are mirrored in the age-worn chrome of an ancient pickup truck they restore together. As the two men first clash and then come together in a friendship that helps each overcome the challenge of reentering a world that's forever changed, Claire's eyes are opened to a life she has never hoped for and opens her heart to a love she still can't convince herself she deserves. Written with lyric intensity and a great respect for native teachings, Dream Wheels announces the presence of a major new literary talent, sure to take his rightful place alongside writers like Cormac McCarthy and Jim Harrison as a gifted chronicler of the modern West.",Available
Keeper'n me ,F WAG,GRAY13931,"Wagamese, Richard.","When Garnet Raven was three years old, he was taken from his home on an Ojibway Indian reserve and placed in a series of foster homes. Having reached his mid-teens, he escapes at the first available opportunity, only to find himself cast adrift on the streets of the big city.Having skirted the urban underbelly once too often by age 20, he finds himself thrown in jail. While there, he gets a surprise letter from his long-forgotten native family.The sudden communication from his past spurs him to return to the reserve following his release from jail. Deciding to stay awhile, his life is changed completely as he comes to discover his sense of place, and of self. While on the reserve, Garnet is initiated into the ways of the Ojibway--both ancient and modern--by Keeper, a friend of his grandfather, and last fount of history about his people's ways.By turns funny, poignant and mystical, Keeper'n Me reflects a positive view of Native life and philosophy--as well as casting fresh light on the redemptive power of one's community and traditions.","October 30, 2020"
Innocent ,F WAL,GRAY37771,"Walters, Eric,","Nashville 1964. Eighteen-year-old babysitter Paula Herring is murdered in her home while her six-year-old brother apparently sleeps through the grisly event. A few months later a judge's son is convicted of the crime. Decades after the slaying, the author stumbles upon a secret file related to the case and with the help of some of the world's top forensic experts--including forensic psychologist Richard Walter (aka -the living Sherlock Holmes-)--he uncovers the truth. What really happened is completely different from what the public was led to believe. In this true-crime page-turner, the author lays out compelling evidence that a circle of powerful citizens were key participants in the crime and the subsequent cover-up. The ne'er-do-well judge's son, who was falsely accused and sent to prison, proved to be the perfect setup man. The perpetrators used his checkered history to conceal the real facts for over half a century. Now, for the first time, the author reveals the true story. Including interviews with the original defense attorney and a murder confession elicited from a nursing-home resident, the information presented here will change Nashville history forever.",Available
Grist :,F WAL,GRAY18939,"Waldorf, Heather,","Canadian Children's Book Centre Our Choice, 2007White Pine Honour Book, 2008Evergreen Teen Book Award Nominee, 2009No one is who they seem to be in Charlie's world. Not her father, the boy she likes, or even the mysterious man from her mother's funeral.p> Sixteen-year-old Charlie, an ambitious and dedicated writer who thinks her small-town life doesn't offer any material for her work, is sure of three things: That her blow-up at her tactless creative writing teacher must have contributed to his heart attack, That she doesn't want to spend her summer with her father's girlfriend and her triplets, And that she has to get away.She decides to spend the summer with her grandmother on remote Lake Ringrose in northern Ontario, where she thinks she can laze on a hammock all summer and get in touch with her mother's roots. Instead, she steps into a series of unexpected adventures that will alter her view of what seemed a dull and tedious existence. For one thing, she agrees to compete in the gruelling Four Islands Race. Then she falls for Kerry, a handsome local hunk, and wants to tell him how she feels. As revelation upon revelation builds, she discovers the unthinkable: Kerry is her half-brother and the man she's always taken to be her father isn't after all. And then there's the mystery of the Chocolate Moose Man, an almost mythical figure who turned up at her mother's funeral thirteen years before.It's all rich grist for a keen-eyed young writer's mill, as Charlie learns that the best material comes not from exciting travels and circumstances, but from journeys to new places inside herself.",Available
Northern exposures ,F WAL,GRAY19401,"Walters, Eric,",Walters' latest thrilling adventure is packed with fascinating encounters with bears and thrilling rides in the gargantuan all-terrain buggies used to spot Arctic wildlife--and it introduces the issue of environmental commercialization to its young audience with subtlety.,Available
Fouling out ,F WAL,GRAY19612,"Walters, Gregory,","Craig and Tom have been friends since second grade, but that was five years ago and Craig is getting sick of Tom's out-of-bounds behavior. When Craig begins to realize that he may have more potential in school than he ever thought, he starts to distance himself from Tom, who is both the class clown and the school bully. But severing ties with an old friend is never easy, and a foolhardy incident in a local park pulls Craig back into Tom's orbit. Faced with the realities of Tom's home life, Craig must determine the limits of this volatile friendship.",Available
Sketches ,F WAL,GRAY19637,"Walters, Eric,","By bestselling biographer and journalist, a selective collection that illustrates his passage from school to journalist to illustrious biographer.",Available
SHATTERED,F WAL,GRAY19609,DEAN KOONTZ,"To the casual observer, Christopher Ravena and Sarah Vida look like normal high school students. But he’s a vampire who has sworn off human blood, and she’s a witch, a daughter of the most powerful vampire-hunting dynasty in history. Slowly, without meaning to, Sarah finds herself won over by his sensitivity, his gentleness, his kindness.But his past and her future collide when they both get tangled up with Nikolas, one of the most reviled vampires ever.",Available
Nowhere fast ,F WAL,GRAY22376,"Waltman, Kevin.","The latest from PUSH: a startling first novel about guy friendship, difficult choices, and life in the middle of nowhere.This startling debut novel is about both the velocity and the inertia of being a teenage boy in America. It's about Gary, who drives around aimlessly with his best friend Wilson in a stolen car, looking for something to do but only finding trouble or boredom. It's about Gary's attempts to be a good boyfriend and a good son, even though his girlfriend is on to his issues and his dad has a tornado temper. It's about living in a town that you've known your whole life but doesn't know you at all. It's about looking for escape, and the price you sometimes have to pay to get free.",Available
Camp 30,F WAL,GRAY381826,"Walters, Eric ","The thrilling sequel to Camp X, winner of the Silver Birch Award Jack and George have barely recovered from their ordeal in Camp X when they are relocated to Bowmanville, Ontario, where their mother has been offered a clerking job in a prisoner of war camp holding the highest ranking German officers.Soon the boys are offered the after-school job of delivering the camp's mail, and Canadian agents ask them to keep their eyes and ears open for possible escape plans. For, as the boys are told, it is a matter of loyalty to their homeland that the German prisoners must try to escape, even if it costs them their lives—and the lives of two boys in the wrong place at the wrong time.",Available
LEARNING THE GAME,F WAL,GRAY20325,"Waltman, Kevin","It isn't how you play the game -- it's how you let the game play you. When Nate's team commits a crime, all of his loyalties are tested -- and questioned. A bold hardcover debut.Over the hot, Indiana summer, Nate's high school basketball team practices on a local court off a row of fraternities. One day after practice, one of the team members suggests breaking into a frat house and looting its contents. Nate goes along with it -- a move he instantly regrets. Soon all of his loyalties are being tested -- with his brother, a town outcast who might be blamed for the crime; with his girlfriend, who he tries to confide in; and with his teammates. A phenomenal novel in the tradition of Chris Crutcher, Rich Wallace, and Walter Dean Myers' SLAM.",Available
War of the eagles ,F WAL,GRAY20537,"Walters, Eric,","During WWII, Jed’s English father serves as a fighter pilot overseas, while Jed and his mother move back to her Tsimshian community on Canada's west coast. When the military sets up a naval base in town, Jed is hired to help out, honored it seems, for both his father's bravery and his own native skills as a hunter. Presented with a military jacket, Jed finds an allegiance to his country and a pride in his mixed heritage that he's never felt before.",Available
Royal Ransom,F WAL,GRAY381355,"Walters,Eric","Eric Walters's unforgettable romp through Canada's wilderness is now in mass market paperback Jamie, a 13-year-old Cree boy, is surprised when his cousin asks him to help out with a trip he's escorting through Canada's North. His surprise turns to astonishment when he discovers the group includes the young Princess Victoria and Prince Andrew, who are next in line for the British throne!When kidnappers strike, taking the grownups in the group hostage, Jamie and the rest of the children are forced to battle their way back to civilization alone. Encounters with bears, rapids and the menacing kidnappers threaten to stop them at every turn, but thanks to Jamie's level headedness and Victoria's quick thinking, the children outwit their pursuers ... but they're not out of danger yet!",Available
Raspberries on the Yangtze ,F WAL,GRAY14441,"Wallace, Karen","The Yangtze in our story is not China's river, but rather a magical place in the Canadian countryside on the outskirts of a small town. There, in the 1950s, a group of children look forward to what promises to be a glorious summer. There are six of them—all different in age and character. Nancy is a down-to-earth girl, and her only challenge in life is Andrew, her elder brother. Then there are Clare, Amy, Sandra, and Tracy. The children have known each other and their families for most of their lives, but this is the year when everything they ever thought they knew will change.",Available
Week 2 :,F WAL,GRAY15418,"Wallens, Scott.","SEVEN WEEKS. SEVEN LIVES. SEVEN STORIES.   Jeremy's life was perfect. He was the running back of the football team. He had been dating Tara, the most beautiful girl in school, for two years. Then he met Josh.  SEVEN YEARS AGO, A TRAGEDY TORE THEM APART. NOW, FATE WILL BRING THEM BACK TOGETHER.",Available
